iter	Passed	Remaining
0	3	1967
1	8	2128
2	13	2260
3	18	2238
4	21	2132
5	25	2093
6	30	2151
7	34	2124
8	38	2088
9	43	2140
10	50	2263
11	55	2256
12	63	2376
13	67	2355
14	74	2417
15	80	2421
16	84	2394
17	91	2437
18	95	2421
19	105	2522
20	112	2557
21	119	2605
22	124	2574
23	127	2538
24	132	2524
25	137	2500
26	140	2468
27	145	2445
28	150	2444
29	154	2420
30	158	2403
31	163	2395
32	167	2364
33	170	2342
34	176	2340
35	180	2331
36	184	2310
37	189	2302
38	194	2295
39	197	2271
40	201	2261
41	206	2256
42	211	2245
43	215	2231
44	220	2228
45	224	2213
46	227	2196
47	232	2187
48	239	2199
49	242	2184
50	246	2170
51	251	2169
52	255	2156
53	259	2142
54	264	2137
55	268	2126
56	272	2120
57	278	2118
58	281	2106
59	285	2094
60	289	2084
61	294	2081
62	298	2071
63	303	2066
64	308	2066
65	312	2057
66	317	2054
67	323	2056
68	328	2051
69	332	2044
70	337	2039
71	342	2037
72	347	2030
73	353	2033
74	358	2029
75	363	2026
76	370	2033
77	373	2023
78	380	2026
79	384	2017
80	391	2023
81	395	2016
82	399	2007
83	408	2020
84	412	2012
85	417	2011
86	423	2008
87	429	2009
88	446	2062
89	452	2062
90	457	2057
91	463	2054
92	467	2044
93	471	2036
94	477	2035
95	482	2028
96	486	2020
97	491	2017
98	495	2008
99	500	2001
100	505	1995
101	509	1987
102	513	1978
103	518	1972
104	523	1969
105	527	1960
106	532	1955
107	537	1950
108	543	1950
109	552	1957
110	557	1952
111	565	1960
112	570	1954
113	577	1956
114	582	1950
115	589	1950
116	596	1951
117	601	1947
118	607	1945
119	611	1937
120	617	1933
121	625	1936
122	630	1931
123	636	1928
124	640	1921
125	646	1919
126	650	1910
127	654	1901
128	659	1895
129	664	1890
130	668	1881
131	672	1874
132	677	1869
133	682	1863
134	686	1857
135	693	1857
136	697	1849
137	701	1840
138	707	1838
139	712	1832
140	717	1825
141	723	1824
142	728	1818
143	736	1819
144	741	1814
145	745	1807
146	750	1803
147	755	1796
148	760	1791
149	765	1786
150	769	1778
151	773	1772
152	780	1771
153	786	1765
154	791	1761
155	796	1756
156	801	1750
157	807	1748
158	812	1741
159	816	1734
160	820	1727
161	825	1722
162	829	1715
163	834	1709
164	840	1706
165	844	1699
166	848	1691
167	853	1687
168	857	1680
169	862	1674
170	870	1675
171	875	1668
172	879	1662
173	884	1657
174	888	1650
175	893	1644
176	898	1639
177	902	1632
178	908	1628
179	914	1625
180	917	1617
181	922	1611
182	926	1605
183	931	1599
184	936	1594
185	941	1589
186	945	1581
187	949	1575
188	953	1569
189	957	1562
190	962	1556
191	967	1552
192	972	1546
193	976	1540
194	980	1533
195	986	1529
196	990	1523
197	994	1517
198	999	1512
199	1003	1505
200	1006	1497
201	1011	1492
202	1015	1485
203	1018	1478
204	1022	1471
205	1027	1466
206	1031	1460
207	1035	1453
208	1040	1449
209	1044	1442
210	1048	1436
211	1053	1431
212	1058	1426
213	1062	1420
214	1066	1414
215	1071	1409
216	1075	1402
217	1079	1396
218	1083	1390
219	1088	1385
220	1092	1379
221	1098	1375
222	1102	1369
223	1106	1363
224	1111	1358
225	1115	1351
226	1119	1346
227	1124	1341
228	1129	1337
229	1133	1330
230	1137	1324
231	1143	1320
232	1147	1315
233	1151	1309
234	1158	1305
235	1162	1300
236	1166	1294
237	1174	1292
238	1178	1286
239	1183	1282
240	1189	1278
241	1194	1273
242	1200	1269
243	1206	1265
244	1210	1260
245	1216	1256
246	1220	1250
247	1225	1244
248	1231	1241
249	1235	1235
250	1240	1230
251	1248	1228
252	1257	1227
253	1263	1223
254	1268	1218
255	1276	1216
256	1283	1213
257	1288	1208
258	1292	1202
259	1296	1196
260	1301	1192
261	1306	1186
262	1311	1182
263	1319	1179
264	1324	1174
265	1329	1169
266	1334	1164
267	1338	1158
268	1348	1158
269	1352	1152
270	1360	1149
271	1364	1143
272	1396	1160
273	1404	1158
274	1415	1158
275	1420	1152
276	1425	1147
277	1430	1142
278	1437	1138
279	1443	1134
280	1448	1129
281	1454	1124
282	1459	1119
283	1464	1113
284	1469	1108
285	1474	1103
286	1479	1097
287	1484	1092
288	1488	1087
289	1493	1081
290	1498	1076
291	1503	1070
292	1506	1064
293	1512	1059
294	1515	1053
295	1520	1047
296	1526	1043
297	1530	1037
298	1535	1031
299	1542	1028
300	1547	1022
301	1552	1017
302	1558	1013
303	1562	1007
304	1567	1002
305	1573	997
306	1578	992
307	1583	986
308	1589	982
309	1593	976
310	1598	971
311	1603	966
312	1607	960
313	1613	955
314	1617	949
315	1621	944
316	1625	938
317	1631	933
318	1635	928
319	1640	922
320	1646	917
321	1651	912
322	1655	907
323	1661	902
324	1665	896
325	1671	892
326	1676	887
327	1682	882
328	1690	878
329	1697	874
330	1702	869
331	1708	864
332	1714	859
333	1719	854
334	1728	851
335	1734	846
336	1739	841
337	1744	836
338	1749	830
339	1758	827
340	1762	821
341	1771	818
342	1777	813
343	1786	810
344	1793	805
345	1803	802
346	1809	797
347	1818	794
348	1823	789
349	1828	783
350	1834	778
351	1847	776
352	1863	776
353	1879	774
354	1891	772
355	1899	768
356	1910	765
357	1915	759
358	1937	760
359	1944	756
360	1959	754
361	1967	749
362	1973	744
363	1980	740
364	1985	734
365	1989	728
366	1995	722
367	1999	717
368	2004	711
369	2011	706
370	2015	700
371	2026	697
372	2031	691
373	2039	687
374	2044	681
375	2056	678
376	2060	672
377	2067	667
378	2071	661
379	2075	655
380	2084	650
381	2089	645
382	2099	641
383	2103	635
384	2109	630
385	2115	624
386	2119	618
387	2124	613
388	2130	607
389	2135	602
390	2140	596
391	2144	590
392	2149	585
393	2155	579
394	2159	573
395	2164	568
396	2169	562
397	2173	557
398	2178	551
399	2184	546
400	2188	540
401	2193	534
402	2198	529
403	2203	523
404	2207	517
405	2213	512
406	2218	506
407	2222	501
408	2229	496
409	2233	490
410	2238	484
411	2244	479
412	2249	473
413	2253	468
414	2259	462
415	2263	457
416	2268	451
417	2273	445
418	2277	440
419	2281	434
420	2287	429
421	2291	423
422	2296	418
423	2301	412
424	2306	406
425	2310	401
426	2316	395
427	2320	390
428	2325	384
429	2330	379
430	2335	373
431	2340	368
432	2345	362
433	2349	357
434	2354	351
435	2359	346
436	2363	340
437	2368	335
438	2373	329
439	2378	324
440	2382	318
441	2388	313
442	2392	307
443	2396	302
444	2402	296
445	2407	291
446	2411	285
447	2416	280
448	2420	274
449	2424	269
450	2428	263
451	2434	258
452	2437	252
453	2442	247
454	2449	242
455	2453	236
456	2460	231
457	2465	226
458	2475	221
459	2479	215
460	2487	210
461	2491	204
462	2496	199
463	2502	194
464	2506	188
465	2511	183
466	2517	177
467	2521	172
